t,vida
0.1435,992995.0
0.1441,992995.0
0.1442,992995.0
0.1443,992995.0
0.1444,992995.0
0.1446,992995.0
0.1447,992995.0
0.1450,992995.0
0.1452,992995.0
0.1502,992990.0
0.1672,992990.0
0.1835,992990.0
0.2004,992990.0
0.2172,992990.0
0.2338,992990.0
0.2503,992985.0
0.2669,992985.0
0.2838,992985.0
0.3001,992985.0
0.3169,992985.0
0.3338,992985.0
0.3505,992985.0
0.3672,992985.0
0.3837,992985.0
0.4002,992985.0
0.4171,992985.0
0.4336,992985.0
0.4505,992975.0
0.4667,992975.0
0.4839,992970.0
0.5002,992970.0
0.5170,992965.0
0.5338,992965.0
0.5501,992965.0
0.5668,992965.0
0.5839,992965.0
0.6003,992965.0
0.6168,992965.0
0.6337,992965.0
0.6503,992955.0
0.6669,992955.0
0.6835,992955.0
0.7002,992955.0
0.7172,992945.0
0.7336,992945.0
0.7502,992945.0
0.7674,992945.0
0.7838,992940.0
0.8002,992940.0
0.8171,992940.0
0.8335,992940.0
0.8501,992940.0
0.8672,992940.0
0.8837,992940.0
0.9001,992940.0
0.9169,992940.0
0.9337,992940.0
0.9505,992940.0
0.9671,992940.0
0.9836,992940.0
1.0003,992940.0
1.0171,992940.0
1.0339,992940.0
1.0505,992940.0
1.0672,992940.0
1.0836,992940.0
1.1006,992940.0
1.1168,992940.0
1.1335,992940.0
1.1506,992940.0
1.1669,992940.0
1.1840,992940.0
1.2003,992940.0
1.2171,992940.0
1.2339,992940.0
1.2505,992940.0
1.2671,992940.0
1.2835,992940.0
1.3002,992940.0
1.3169,992940.0
1.3339,992940.0
1.3505,992940.0
1.3669,992940.0
1.3838,992940.0
1.4005,992940.0
1.4171,992940.0
1.4339,992940.0
1.4502,992940.0
1.4670,992940.0
1.4836,992940.0
1.5005,992935.0
1.5169,992935.0
1.5338,992935.0
1.5507,992930.0
1.5669,992930.0
1.5839,992930.0
1.6005,992930.0
1.6172,992930.0
1.6338,992925.0
1.6504,992925.0
1.6669,992925.0
1.6837,992925.0
1.7003,992925.0
1.7169,992925.0
1.7338,992925.0
1.7502,992925.0
1.7669,992920.0
1.7836,992920.0
1.8001,992920.0
1.8168,992920.0
1.8335,992920.0
1.8505,992920.0
1.8674,992920.0
1.8839,992920.0
1.9005,992920.0
1.9167,992920.0
1.9336,992920.0
1.9507,992920.0
1.9669,992915.0
1.9837,992915.0
2.0003,992915.0
2.0170,992915.0
2.0338,992910.0
2.0503,992910.0
2.0672,992910.0
2.0836,992910.0
2.1004,992905.0
2.1173,992905.0
2.1337,992905.0
2.1503,992905.0
2.1671,992905.0
2.1836,992905.0
2.2003,992905.0
2.2169,992905.0
2.2335,992900.0
2.2506,992900.0
2.2674,992900.0
2.2836,992900.0
2.3003,992900.0
2.3171,992900.0
2.3335,992900.0
2.3504,992900.0
2.3671,992895.0
2.3839,992895.0
2.4005,992895.0
2.4172,992895.0
2.4338,992895.0
2.4502,992895.0
2.4670,992895.0
2.4836,992895.0
2.5002,992895.0
2.5169,992895.0
2.5335,992895.0
2.5506,992895.0
2.5674,992895.0
2.5836,992895.0
2.6005,992895.0
2.6170,992895.0
2.6338,992895.0
2.6501,992895.0
2.6672,992895.0
2.6838,992895.0
2.7002,992895.0
2.7169,992895.0
2.7337,992895.0
2.7506,992895.0
2.7673,992895.0
2.7836,992895.0
2.8005,992895.0
2.8174,992895.0
2.8336,992895.0
