t,vida
0.1126,999210.0
0.1129,999210.0
0.1130,999210.0
0.1131,999210.0
0.1132,999210.0
0.1132,999210.0
0.1133,999210.0
0.1170,999210.0
0.1336,999210.0
0.1502,999210.0
0.1669,999210.0
0.1840,999210.0
0.2001,999205.0
0.2172,999205.0
0.2336,999205.0
0.2505,999205.0
0.2670,999200.0
0.2837,999200.0
0.3001,999200.0
0.3170,999200.0
0.3335,999195.0
0.3504,999195.0
0.3671,999195.0
0.3837,999195.0
0.4003,999190.0
0.4170,999190.0
0.4337,999190.0
0.4504,999190.0
0.4669,999185.0
0.4835,999185.0
0.5005,999185.0
0.5171,999185.0
0.5336,999185.0
0.5506,999185.0
0.5670,999185.0
0.5836,999185.0
0.6003,999185.0
0.6169,999185.0
0.6336,999180.0
0.6504,999180.0
0.6669,999180.0
0.6838,999180.0
0.7005,999180.0
0.7172,999180.0
0.7335,999180.0
0.7504,999180.0
0.7669,999180.0
0.7840,999180.0
0.8006,999180.0
0.8168,999180.0
0.8340,999180.0
0.8506,999180.0
0.8674,999175.0
0.8835,999175.0
0.9004,999175.0
0.9173,999175.0
0.9339,999175.0
0.9502,999175.0
0.9670,999175.0
0.9835,999175.0
1.0003,999175.0
1.0172,999175.0
1.0338,999175.0
1.0506,999175.0
1.0673,999175.0
1.0837,999175.0
1.1002,999175.0
1.1168,999175.0
1.1339,999170.0
1.1504,999170.0
1.1671,999170.0
1.1837,999170.0
1.2001,999170.0
1.2169,999170.0
1.2338,999170.0
1.2503,999170.0
1.2669,999165.0
1.2836,999165.0
1.3002,999165.0
1.3171,999165.0
1.3338,999165.0
1.3505,999165.0
1.3672,999165.0
1.3838,999165.0
1.4003,999165.0
1.4167,999165.0
1.4337,999165.0
1.4504,999165.0
1.4671,999165.0
1.4839,999165.0
1.5002,999165.0
1.5172,999165.0
1.5339,999160.0
1.5506,999160.0
1.5670,999160.0
1.5839,999160.0
1.6006,999160.0
1.6169,999160.0
1.6336,999155.0
1.6506,999155.0
1.6672,999155.0
1.6836,999155.0
1.7006,999155.0
1.7168,999155.0
1.7339,999155.0
1.7504,999155.0
1.7671,999155.0
1.7836,999155.0
1.8003,999145.0
1.8170,999145.0
1.8336,999145.0
1.8506,999145.0
1.8672,999140.0
1.8837,999140.0
1.9002,999140.0
1.9168,999140.0
1.9339,999140.0
1.9506,999140.0
1.9670,999140.0
1.9838,999140.0
2.0003,999140.0
2.0172,999140.0
