t,vida
0.1314,996405.0
0.1317,996405.0
0.1319,996405.0
0.1320,996405.0
0.1321,996405.0
0.1323,996405.0
0.1323,996405.0
0.1324,996405.0
0.1336,996405.0
0.1503,996405.0
0.1673,996405.0
0.1835,996405.0
0.2002,996405.0
0.2169,996405.0
0.2337,996405.0
0.2504,996405.0
0.2672,996405.0
0.2839,996405.0
0.3005,996405.0
0.3172,996405.0
0.3337,996405.0
0.3506,996405.0
0.3676,996405.0
0.3838,996405.0
0.4004,996405.0
0.4171,996405.0
0.4340,996405.0
0.4504,996405.0
0.4672,996405.0
0.4838,996405.0
0.5005,996405.0
0.5171,996405.0
0.5342,996405.0
0.5506,996405.0
0.5669,996405.0
0.5836,996405.0
0.6004,996405.0
0.6170,996405.0
0.6338,996405.0
0.6504,996405.0
0.6670,996405.0
0.6838,996405.0
0.7006,996405.0
0.7172,996405.0
0.7337,996405.0
0.7506,996405.0
0.7674,996405.0
0.7836,996405.0
0.8005,996405.0
0.8170,996405.0
0.8339,996405.0
0.8502,996405.0
0.8673,996405.0
0.8835,996405.0
0.9005,996405.0
0.9170,996405.0
0.9337,996405.0
0.9505,996405.0
0.9670,996405.0
0.9837,996405.0
1.0002,996299.0
1.0173,996299.0
1.0341,996299.0
1.0507,996299.0
1.0677,996299.0
1.0840,996299.0
1.1008,996299.0
1.1171,996299.0
1.1335,996299.0
1.1506,996299.0
1.1671,996299.0
1.1840,996299.0
1.2006,996299.0
1.2174,996299.0
1.2335,996299.0
1.2503,996299.0
1.2667,996299.0
1.2839,996299.0
1.3002,996299.0
1.3172,996299.0
1.3337,996299.0
1.3501,996299.0
1.3669,996299.0
1.3839,996299.0
1.4002,996299.0
1.4172,996299.0
1.4336,996299.0
1.4505,996299.0
1.4669,996299.0
1.4838,996299.0
1.5002,996299.0
1.5173,996299.0
1.5342,996299.0
1.5504,996299.0
1.5671,996299.0
1.5838,996299.0
1.6006,996299.0
1.6171,996299.0
1.6338,996299.0
1.6502,996299.0
1.6673,996299.0
1.6838,996299.0
1.7002,996299.0
1.7172,996299.0
1.7334,996299.0
1.7504,996299.0
1.7672,996299.0
1.7836,996299.0
1.8002,996299.0
1.8171,996299.0
1.8338,996299.0
1.8505,996299.0
1.8670,996299.0
1.8837,996299.0
1.9007,996299.0
1.9172,996299.0
1.9337,996299.0
1.9505,996299.0
1.9670,996299.0
1.9839,996299.0
2.0004,996299.0
2.0173,996299.0
2.0336,996299.0
2.0504,996299.0
2.0671,996299.0
2.0835,996299.0
2.1003,996299.0
2.1173,996299.0
2.1338,996299.0
2.1501,996299.0
2.1672,996299.0
2.1836,996299.0
2.2006,996299.0
2.2171,996299.0
2.2337,996299.0
2.2505,996299.0
2.2668,996299.0
2.2836,996299.0
2.3002,996299.0
2.3174,996299.0
2.3339,996299.0
2.3503,996299.0
2.3671,996299.0
2.3839,996299.0
2.4003,996299.0
2.4173,996299.0
2.4334,996299.0
2.4507,996299.0
2.4671,996299.0
2.4837,996299.0
2.5003,996299.0
2.5171,996299.0
2.5335,996299.0
2.5504,996299.0
2.5672,996299.0
2.5839,996299.0
2.6005,996299.0
2.6170,996299.0
2.6336,996299.0
2.6510,996299.0
2.6672,996299.0
2.6840,996299.0
2.7006,996299.0
2.7173,996299.0
2.7335,996299.0
2.7504,996299.0
2.7672,996299.0
2.7837,996299.0
2.8002,996299.0
2.8171,996299.0
2.8338,996299.0
2.8502,996299.0
2.8671,996299.0
2.8836,996299.0
2.9004,996299.0
2.9172,996299.0
2.9335,996299.0
2.9516,996299.0
2.9670,996299.0
2.9836,996299.0
3.0007,996299.0
3.0172,996299.0
3.0335,996299.0
3.0515,996299.0
3.0671,996299.0
3.0840,996299.0
3.1004,996299.0
3.1171,996299.0
3.1336,996299.0
3.1511,996299.0
3.1669,996299.0
3.1839,996299.0
3.2003,996299.0
3.2172,996299.0
3.2339,996299.0
3.2506,996299.0
3.2674,996299.0
3.2840,996299.0
3.3005,996299.0
3.3178,996299.0
3.3341,996299.0
3.3504,996299.0
3.3673,996299.0
3.3837,996299.0
3.4001,996299.0
3.4177,996299.0
3.4338,996299.0
3.4504,996299.0
3.4669,996299.0
3.4844,996299.0
3.5007,996299.0
3.5177,996299.0
3.5338,996299.0
3.5506,996299.0
3.5674,996299.0
3.5837,996299.0
3.6003,996299.0
3.6175,996299.0
3.6340,996299.0
3.6509,996299.0
3.6674,996299.0
3.6851,996299.0
3.7002,996299.0
3.7168,996299.0
3.7337,996299.0
3.7506,996299.0
3.7671,996299.0
3.7839,996299.0
3.8005,996299.0
3.8171,996299.0
3.8336,996299.0
3.8504,996299.0
3.8669,996299.0
3.8859,996299.0
3.9004,996299.0
3.9171,996299.0
3.9338,996299.0
3.9507,996299.0
3.9673,996299.0
3.9842,996299.0
4.0007,996299.0
4.0170,996299.0
4.0336,996299.0
4.0512,996299.0
4.0675,996299.0
4.0843,996299.0
4.1011,996299.0
4.1183,996299.0
4.1337,996299.0
4.1504,996299.0
4.1669,996299.0
4.1852,996299.0
