t,vida
0.1427,91.90550231933594
0.1431,91.90550231933594
0.1433,91.90550231933594
0.1434,91.90550231933594
0.1436,91.90550231933594
0.1669,92.4054946899414
0.2006,92.4054946899414
0.2337,92.90548706054688
0.2669,93.90547180175781
0.3003,94.40546417236328
0.3338,94.40546417236328
0.3669,94.90545654296875
0.4002,95.90545654296875
0.4334,95.90545654296875
0.4668,96.90544891357422
0.5003,97.40544128417969
0.5339,97.90543365478516
0.5671,97.90543365478516
0.6002,98.40542602539062
0.6339,99.40540313720703
0.6670,99.40540313720703
0.7002,100.40538024902344
0.7336,100.40538024902344
0.7667,95.9053726196289
0.8001,96.40535736083984
0.8337,97.40534210205078
0.8671,97.90532684326172
0.9004,97.90532684326172
0.9338,98.90531158447266
0.9673,99.4052963256836
1.0003,99.4052963256836
1.0336,99.90528869628906
1.0668,100.40528106689453
1.1001,100.90526580810547
1.1335,101.40525817871094
1.1669,101.9052505493164
1.2005,102.40523529052734
1.2336,102.90522766113281
1.2671,103.40522003173828
1.3002,103.90520477294922
1.3339,104.90518951416016
1.3670,104.90518951416016
1.4003,105.4051742553711
1.4337,105.90516662597656
1.4671,106.40515899658203
1.5004,106.90514373779297
1.5337,107.40513610839844
1.5671,107.9051284790039
1.6002,108.40511322021484
1.6338,103.90510559082031
1.6674,104.40509033203125
1.7004,104.90508270263672
1.7337,105.40507507324219
1.7670,105.90505981445312
1.8004,106.4050521850586
1.8338,106.90504455566406
1.8670,107.405029296875
1.9006,107.90502166748047
1.9346,108.40501403808594
1.9671,108.90499877929688
2.0005,109.40499114990234
2.0336,109.90498352050781
2.0673,110.40496826171875
2.1003,110.90496063232422
2.1337,111.40495300292969
2.1670,111.90493774414062
2.2006,112.4049301147461
2.2341,112.90492248535156
2.2676,113.4049072265625
2.3005,113.90489959716797
2.3339,114.40489196777344
2.3670,114.90487670898438
2.4003,115.40486907958984
2.4336,115.90486145019531
2.4670,116.40484619140625
2.5007,116.90483856201172
2.5335,117.40483093261719
2.5669,117.90481567382812
2.6006,118.4048080444336
2.6338,118.90480041503906
2.6670,119.40479278564453
2.7006,119.90478515625
2.7338,120.40478515625
2.7671,120.90477752685547
2.8003,121.40476989746094
2.8339,121.9047622680664
2.8673,122.40474700927734
2.9001,122.90473937988281
2.9338,123.40473175048828
2.9670,123.90471649169922
3.0002,124.40470886230469
3.0340,124.90470123291016
3.0669,125.4046859741211
3.1006,125.90467834472656
3.1335,126.40467071533203
3.1675,126.90465545654297
3.2002,127.40464782714844
3.2338,127.9046401977539
3.2669,128.4046173095703
3.3005,128.9046173095703
3.3344,129.40460205078125
3.3673,129.9045867919922
3.4004,130.4045867919922
3.4334,130.90457153320312
3.4668,131.40455627441406
3.5002,131.90455627441406
3.5341,132.404541015625
3.5669,132.90452575683594
3.6002,133.40452575683594
3.6335,133.90451049804688
3.6671,134.4044952392578
3.7042,134.9044952392578
3.7340,135.40447998046875
3.7669,135.9044647216797
3.8004,136.4044647216797
3.8337,136.90444946289062
3.8669,137.40443420410156
3.9017,137.90443420410156
3.9338,138.4044189453125
3.9671,138.90440368652344
4.0006,139.40440368652344
4.0338,139.90438842773438
4.0700,140.4043731689453
4.1005,140.9043731689453
4.1337,141.40435791015625
4.1672,141.9043426513672
4.2006,142.4043426513672
4.2367,142.90432739257812
4.2671,138.40431213378906
4.3003,138.904296875
4.3340,134.40428161621094
4.3676,134.90428161621094
4.4028,130.40426635742188
4.4341,130.9042510986328
4.4671,131.40423583984375
4.5006,131.9042205810547
4.5338,127.40420532226562
4.5671,127.9041976928711
4.6006,123.40419006347656
4.6341,123.90418243408203
4.6676,119.40418243408203
4.7004,119.9041748046875
4.7347,120.40416717529297
4.7670,120.90416717529297
4.8003,121.40416717529297
4.8339,121.90415954589844
4.8670,122.40415954589844
4.9005,122.9041519165039
4.9339,123.40414428710938
4.9718,123.90413665771484
5.0006,119.40412139892578
5.0337,119.90411376953125
5.0674,115.40409851074219
5.1018,115.90409088134766
5.1335,111.4040756225586
5.1676,111.90406799316406
5.2003,112.40406799316406
5.2358,112.90406799316406
5.2692,113.40406036376953
5.3007,113.90406036376953
5.3338,114.404052734375
5.3669,114.90404510498047
5.4002,115.40403747558594
5.4338,115.90402221679688
5.4676,116.40401458740234
5.5032,116.90400695800781
5.5336,117.40399169921875
5.5671,117.90398406982422
5.6006,118.40397644042969
5.6337,118.90396118164062
5.6678,119.4039535522461
5.7002,119.90394592285156
5.7338,120.4039306640625
5.7669,120.90392303466797
5.8008,121.40391540527344
5.8337,116.90390014648438
5.8700,117.40389251708984
5.9004,117.90387725830078
5.9336,118.40386962890625
5.9669,118.90386199951172
6.0001,119.40384674072266
6.0366,114.90383911132812
6.0742,115.40382385253906
6.1004,110.90381622314453
6.1337,111.40380096435547
6.1673,106.90379333496094
6.2007,107.40379333496094
6.2337,102.90379333496094
6.2674,103.40379333496094
6.3005,103.9037857055664
6.3335,104.40377807617188
6.3670,104.90377044677734
6.4002,105.40375518798828
6.4338,100.90374755859375
6.4672,101.40373229980469
6.5003,101.90372467041016
6.5337,102.40371704101562
6.5673,97.90370178222656
6.6004,98.40369415283203
6.6339,98.90369415283203
6.6668,99.40369415283203
6.7008,94.9036865234375
6.7341,95.40367889404297
6.7673,90.90367889404297
6.8002,91.40367126464844
6.8336,91.9036636352539
6.8671,92.40365600585938
6.9004,92.90364837646484
6.9335,93.40364074707031
6.9672,93.90363311767578
7.0004,94.40362548828125
7.0337,94.90361785888672
7.0674,95.40361022949219
7.1004,95.90361022949219
7.1339,96.40360260009766
7.1671,91.90359497070312
7.2005,92.4035873413086
7.2337,87.90357971191406
7.2672,88.40357208251953
7.3006,83.903564453125
7.3342,84.40355682373047
7.3669,79.90354919433594
7.4009,80.4035415649414
7.4337,75.90353393554688
7.4672,76.40352630615234
7.5005,71.90351867675781
7.5336,72.40351104736328
7.5673,67.90350341796875
7.6004,68.40349578857422
7.6375,68.90348815917969
7.6670,69.40348815917969
7.7014,69.90348052978516
7.7345,70.40347290039062
7.7669,65.9034652709961
7.8014,66.4034652709961
7.8353,61.90345764160156
7.8671,62.40345001220703
7.9004,62.9034423828125
7.9337,63.40343475341797
7.9672,63.9034309387207
8.0005,64.4034194946289
8.0338,64.90341186523438
8.0669,65.40340423583984
8.1007,65.90339660644531
8.1340,66.40338897705078
8.1671,66.90338134765625
8.2033,67.40337371826172
8.2336,67.90336608886719
8.2669,68.40335845947266
8.3006,68.90335083007812
8.3361,69.4033432006836
8.3680,69.90333557128906
8.4005,65.40332794189453
8.4340,65.9033203125
8.4668,61.40331268310547
8.5016,61.9033088684082
8.5348,62.40330505371094
8.5727,62.903297424316406
8.6004,58.40329360961914
8.6338,58.90329360961914
8.6668,54.403289794921875
8.7004,54.90328598022461
8.7340,50.403282165527344
8.7669,50.90327835083008
8.8007,46.40327072143555
8.8336,46.90326690673828
8.8684,47.403263092041016
8.9002,47.903255462646484
8.9336,43.40324783325195
8.9672,43.90324020385742
9.0007,39.403236389160156
9.0335,39.90323257446289
9.0668,35.403228759765625
9.1044,35.90322494506836
9.1334,31.403221130371094
9.1668,31.90321922302246
9.2002,27.403213500976562
9.2343,27.903209686279297
9.2673,28.40320587158203
9.3002,28.903202056884766
9.3339,29.4031982421875
9.3674,29.903196334838867
9.4014,30.4031925201416
9.4339,30.903186798095703
9.4669,31.403182983398438
9.5006,31.903179168701172
9.5339,32.403175354003906
9.5676,32.90317153930664
9.6015,33.403167724609375
9.6336,33.903160095214844
9.6673,34.40315628051758
9.7002,34.90315246582031
9.7341,35.40314865112305
9.7669,30.903141021728516
9.8005,31.40313720703125
9.8339,26.903135299682617
9.8669,27.40313148498535
9.9006,27.903127670288086
9.9336,28.403121948242188
9.9673,28.903118133544922
10.0007,29.403114318847656
10.0349,29.903112411499023
10.0670,30.403108596801758
10.1005,30.90310287475586
10.1337,26.403099060058594
10.1673,26.903095245361328
10.2004,22.403091430664062
10.2337,22.90308952331543
10.2670,18.403087615966797
10.3001,18.903085708618164
10.3337,19.40308380126953
10.3673,19.9030818939209
10.4004,20.403079986572266
10.4348,20.903078079223633
10.4671,21.403076171875
10.5006,21.903074264526367
10.5337,22.403072357177734
10.5670,22.9030704498291
10.6005,23.403066635131836
10.6339,23.90306282043457
10.6668,24.403057098388672
10.7004,24.903053283691406
10.7338,25.40304946899414
10.7675,25.903047561645508
10.8002,26.403043746948242
10.8339,26.903038024902344
10.8672,27.403034210205078
10.9002,27.903030395507812
10.9339,28.40302848815918
10.9673,28.903024673461914
11.0006,29.403018951416016
11.0336,24.903013229370117
11.0715,25.403011322021484
11.1006,20.90300750732422
11.1341,21.403005599975586
11.1673,21.903003692626953
11.2004,22.40300178527832
11.2337,22.902999877929688
11.2670,23.402997970581055
11.3005,23.90299415588379
11.3338,24.402990341186523
11.3669,24.902984619140625
11.4004,25.40298080444336
11.4337,25.902976989746094
11.4669,26.40297508239746
11.5003,26.902971267700195
11.5338,27.402965545654297
11.5686,27.9029598236084
11.6016,28.402956008911133
11.6338,23.902952194213867
11.6671,24.4029483795166
11.7004,24.902942657470703
11.7339,25.402938842773438
11.7685,25.902935028076172
11.8006,26.40293312072754
11.8337,26.902929306030273
11.8672,27.402923583984375
11.9008,27.90291976928711
11.9339,28.402915954589844
11.9670,28.90291404724121
12.0006,29.402910232543945
12.0339,29.902904510498047
12.0671,30.40289878845215
12.1004,30.902894973754883
12.1337,31.402891159057617
12.1669,31.902889251708984
12.2003,32.40288543701172
12.2340,32.90287780761719
12.2670,33.40287399291992
12.3002,33.902870178222656
12.3336,34.40286636352539
12.3671,34.90285873413086
12.4006,35.402854919433594
12.4338,35.90285110473633
12.4672,36.40284729003906
12.5002,36.9028434753418
12.5335,37.40283966064453
12.5669,37.902835845947266
12.6007,38.40283203125
12.6340,33.902828216552734
12.6668,34.40282440185547
12.7002,29.902816772460938
12.7335,30.402812957763672
12.7673,30.90281105041504
12.8007,31.402807235717773
12.8337,31.90280532836914
12.8672,32.402801513671875
12.9003,32.902793884277344
12.9344,33.40279006958008
12.9670,33.90278625488281
13.0003,34.40278244018555
13.0337,34.902774810791016
13.0670,35.40277099609375
13.1004,35.902767181396484
13.1337,36.40276336669922
13.1671,36.90275955200195
13.2007,37.40275573730469
13.2336,37.90275192260742
13.2670,38.402748107910156
13.3008,38.90274429321289
13.3337,39.402740478515625
13.3670,39.90273666381836
13.4001,40.402732849121094
13.4335,40.90272903442383
13.4670,41.40272521972656
13.5007,41.9027214050293
13.5338,42.40271759033203
13.5674,42.902713775634766
13.6004,43.4027099609375
13.6340,43.902706146240234
13.6672,39.40270233154297
13.7002,39.90269470214844
13.7338,40.40269088745117
13.7676,40.902687072753906
13.8006,41.40268325805664
13.8337,41.902679443359375
13.8675,42.40267562866211
13.9005,42.902671813964844
13.9339,38.40266799926758
13.9670,38.90266418457031
14.0002,34.40266036987305
14.0339,34.90265655517578
14.0668,30.402652740478516
14.1005,30.90264892578125
14.1335,26.402645111083984
14.1669,26.90264129638672
14.2003,27.402637481689453
14.2337,27.902633666992188
14.2672,23.402631759643555
14.3003,23.90262794494629
14.3335,19.402624130249023
14.3669,19.90262222290039
14.4003,20.402620315551758
14.4338,20.902618408203125
14.4674,16.402616500854492
14.5003,16.90261459350586
14.5339,12.402612686157227
14.5673,12.902610778808594
14.6004,13.402609825134277
14.6339,13.902607917785645
14.6671,9.402606010437012
14.7003,9.902605056762695
