t,vida
0.1129,996060.0
0.1132,996060.0
0.1134,996060.0
0.1135,996060.0
0.1135,996060.0
0.1136,996060.0
0.1137,996060.0
0.1172,996060.0
0.1336,995955.0
0.1503,995955.0
0.1670,995955.0
0.1839,995955.0
0.2004,995955.0
0.2169,995955.0
0.2336,995955.0
0.2504,995955.0
0.2667,995955.0
0.2839,995955.0
0.3001,995955.0
0.3168,995955.0
0.3337,995955.0
0.3504,995955.0
0.3667,995850.0
0.3838,995850.0
0.4004,995850.0
0.4172,995850.0
0.4337,995745.0
0.4503,995745.0
0.4668,995745.0
0.4838,995745.0
0.5004,995745.0
0.5169,995745.0
0.5337,995745.0
0.5505,995745.0
0.5670,995745.0
0.5835,995745.0
0.6004,995745.0
0.6173,995745.0
0.6337,995745.0
0.6504,995745.0
0.6669,995640.0
0.6839,995640.0
0.7002,995640.0
0.7167,995640.0
0.7335,995640.0
0.7504,995640.0
0.7671,995640.0
0.7838,995640.0
0.8005,995640.0
0.8172,995640.0
0.8334,995535.0
0.8506,995535.0
0.8670,995535.0
0.8838,995535.0
0.9001,995535.0
0.9168,995535.0
0.9336,995535.0
0.9507,995535.0
0.9671,995535.0
0.9834,995535.0
1.0006,995535.0
1.0169,995535.0
1.0335,995535.0
1.0503,995535.0
1.0671,995535.0
1.0837,995535.0
1.1003,995535.0
1.1172,995535.0
1.1335,995535.0
1.1502,995535.0
1.1670,995430.0
1.1839,995430.0
1.2003,995430.0
1.2171,995430.0
1.2335,995430.0
1.2503,995430.0
1.2668,995430.0
1.2840,995430.0
1.3001,995430.0
1.3168,995430.0
1.3335,995430.0
1.3505,995430.0
1.3669,995430.0
1.3835,995430.0
1.4002,995430.0
1.4169,995430.0
1.4335,995430.0
1.4505,995430.0
1.4668,995430.0
1.4835,995430.0
1.5002,995430.0
1.5168,995430.0
1.5335,995430.0
1.5506,995430.0
1.5672,995430.0
1.5837,995430.0
1.6004,995430.0
1.6168,995430.0
1.6335,995430.0
1.6501,995430.0
1.6669,995430.0
1.6836,995430.0
1.7002,995430.0
1.7170,995430.0
1.7335,995430.0
1.7506,995430.0
1.7669,995430.0
1.7837,995430.0
1.8001,995430.0
1.8170,995430.0
1.8338,995430.0
1.8504,995430.0
1.8670,995430.0
1.8837,995430.0
1.9003,995430.0
1.9172,995430.0
1.9339,995430.0
1.9506,995430.0
1.9672,995430.0
1.9837,995430.0
2.0004,995430.0
2.0173,995430.0
2.0337,995430.0
2.0502,995430.0
2.0667,995430.0
2.0837,995430.0
2.1005,995430.0
2.1172,995430.0
2.1335,995430.0
2.1506,995430.0
2.1671,995430.0
2.1835,995430.0
2.2006,995430.0
2.2168,995430.0
2.2339,995430.0
2.2504,995430.0
2.2671,995430.0
2.2838,995430.0
2.3003,995430.0
2.3172,995430.0
2.3341,995430.0
2.3502,995430.0
2.3667,995430.0
2.3838,995430.0
2.4005,995430.0
2.4173,995430.0
2.4334,995430.0
2.4501,995430.0
2.4669,995325.0
2.4837,995325.0
2.5003,995325.0
2.5170,995325.0
2.5337,995325.0
2.5510,995325.0
2.5670,995325.0
2.5839,995325.0
2.6005,995325.0
2.6171,995325.0
2.6339,995325.0
2.6505,995325.0
2.6672,995325.0
2.6838,995325.0
2.7004,995325.0
2.7169,995325.0
2.7337,995220.0
2.7504,995220.0
2.7671,995220.0
2.7835,995220.0
2.8003,995220.0
2.8171,995220.0
2.8335,995220.0
2.8502,995220.0
2.8672,995220.0
2.8835,995115.0
2.9004,995115.0
2.9170,995115.0
2.9337,995115.0
2.9503,995115.0
2.9670,995115.0
2.9836,995115.0
3.0002,995115.0
3.0167,995115.0
3.0339,995115.0
3.0505,995115.0
3.0671,995115.0
3.0836,995115.0
3.1004,995115.0
3.1167,995115.0
3.1334,995115.0
3.1507,995115.0
3.1672,995115.0
3.1839,995115.0
3.2006,995115.0
3.2168,995115.0
3.2338,995115.0
3.2505,995115.0
3.2671,995115.0
3.2836,995115.0
3.3006,995115.0
3.3172,995115.0
3.3338,995115.0
3.3504,995115.0
3.3671,995115.0
3.3839,995115.0
3.4009,995115.0
3.4170,995115.0
3.4338,995115.0
3.4507,995115.0
3.4669,995115.0
3.4836,995115.0
3.5001,995115.0
3.5171,995115.0
3.5338,995115.0
3.5504,995115.0
3.5669,995115.0
3.5838,995115.0
3.6003,995115.0
3.6171,995115.0
3.6338,995115.0
3.6501,995115.0
3.6671,995115.0
3.6836,995115.0
3.7004,995010.0
3.7172,995010.0
3.7340,995010.0
3.7503,995010.0
3.7671,994905.0
3.7837,994905.0
3.8005,994905.0
3.8168,994905.0
3.8338,994905.0
3.8507,994905.0
