t,vida
0.1364,750.0
0.1367,750.0
0.1369,750.0
0.1507,750.0
0.2005,750.0
0.2503,750.0
0.3005,750.0
0.3505,750.0
0.4003,750.0
0.4504,750.0
0.5007,750.0
0.5501,750.0
0.6006,750.0
0.6502,750.0
0.7004,750.0
0.7501,750.0
0.8005,750.0
0.8504,750.0
0.9002,750.0
0.9507,750.0
1.0002,750.0
1.0502,750.0
1.1001,750.0
1.1504,750.0
1.2003,750.0
1.2503,750.0
1.3001,750.0
1.3503,750.0
1.4006,750.0
1.4507,750.0
1.5002,750.0
1.5509,750.0
1.6002,750.0
1.6505,750.0
1.7008,750.0
1.7504,750.0
1.8008,750.0
1.8503,750.0
1.9005,750.0
1.9504,750.0
2.0004,750.0
2.0505,750.0
2.1003,750.0
2.1506,750.0
2.2005,750.0
2.2505,750.0
2.3002,750.0
2.3504,750.0
2.4003,750.0
2.4504,750.0
2.5006,750.0
2.5502,750.0
2.6006,750.0
2.6505,750.0
2.7001,750.0
2.7504,750.0
2.8001,750.0
2.8505,750.0
2.9003,750.0
2.9502,750.0
3.0008,750.0
3.0505,750.0
3.1002,750.0
3.1503,750.0
3.2005,750.0
3.2505,750.0
3.3008,750.0
3.3505,750.0
3.4007,750.0
3.4503,750.0
3.5007,750.0
3.5503,750.0
3.6004,750.0
3.6529,750.0
3.7006,750.0
3.7506,750.0
3.8005,750.0
3.8508,750.0
3.9005,750.0
3.9504,750.0
4.0005,750.0
4.0503,750.0
4.1006,750.0
4.1508,750.0
4.2007,750.0
4.2501,750.0
4.3014,750.0
4.3506,750.0
4.4005,750.0
4.4508,750.0
4.5011,750.0
4.5520,750.0
4.6004,750.0
4.6504,750.0
4.7002,750.0
4.7505,750.0
4.8002,750.0
4.8507,750.0
4.9005,750.0
4.9512,750.0
5.0002,750.0
5.0505,750.0
5.1014,750.0
5.1505,750.0
5.2009,750.0
5.2503,750.0
5.3003,750.0
5.3507,750.0
5.4010,750.0
5.4505,750.0
5.5007,750.0
5.5507,750.0
5.6002,750.0
5.6504,750.0
5.7005,750.0
5.7538,750.0
5.8006,750.0
5.8501,750.0
5.9003,750.0
5.9504,750.0
6.0002,750.0
6.0504,745.0
6.1013,745.0
6.1506,745.0
6.2003,745.0
6.2506,745.0
6.3003,745.0
6.3502,745.0
6.4004,745.0
6.4504,745.0
6.5007,745.0
6.5502,745.0
6.6005,745.0
6.6507,745.0
6.7006,745.0
6.7503,745.0
6.8017,745.0
6.8502,745.0
6.9002,745.0
6.9508,745.0
7.0006,745.0
7.0501,745.0
7.1007,745.0
7.1504,745.0
7.2005,745.0
7.2517,745.0
7.3001,745.0
7.3514,745.0
7.4002,740.0
7.4504,740.0
7.5006,740.0
7.5503,740.0
7.6002,740.0
7.6503,740.0
7.7012,740.0
7.7504,740.0
7.8003,740.0
7.8508,740.0
7.9001,740.0
7.9505,740.0
8.0006,740.0
8.0504,740.0
8.1003,740.0
8.1510,740.0
8.2007,740.0
8.2517,740.0
8.3006,740.0
8.3507,740.0
8.4009,740.0
8.4501,740.0
8.5003,740.0
8.5507,740.0
8.6003,740.0
8.6504,740.0
8.7006,740.0
8.7513,740.0
8.8004,740.0
8.8508,740.0
8.9003,740.0
8.9507,740.0
9.0006,740.0
9.0510,740.0
9.1011,740.0
9.1504,740.0
9.2005,740.0
9.2506,740.0
9.3006,740.0
9.3512,740.0
9.4007,740.0
9.4505,740.0
9.5020,740.0
9.5504,740.0
9.6007,740.0
9.6520,740.0
9.7004,740.0
9.7505,740.0
9.8004,740.0
9.8515,735.0
9.9035,735.0
9.9508,735.0
10.0008,735.0
10.0505,735.0
10.1003,735.0
10.1505,735.0
10.2001,735.0
10.2503,735.0
10.3004,735.0
10.3506,735.0
10.4023,735.0
10.4512,735.0
10.5026,735.0
10.5519,735.0
10.6004,735.0
10.6503,735.0
10.7001,735.0
10.7506,735.0
10.8008,735.0
10.8506,735.0
10.9003,735.0
10.9503,735.0
11.0005,735.0
11.0505,735.0
11.1007,735.0
11.1503,735.0
11.2009,735.0
11.2506,735.0
11.3003,735.0
11.3507,735.0
11.4004,735.0
11.4506,735.0
11.5002,735.0
11.5510,735.0
11.6006,735.0
11.6507,735.0
11.7004,735.0
11.7503,735.0
11.8004,735.0
11.8507,735.0
11.9005,735.0
11.9501,735.0
12.0010,735.0
12.0504,735.0
12.1006,735.0
12.1509,735.0
12.2002,735.0
12.2502,735.0
12.3001,735.0
12.3507,735.0
12.4004,735.0
12.4502,735.0
12.5007,735.0
12.5503,735.0
12.6004,735.0
12.6501,735.0
12.7003,735.0
12.7503,735.0
12.8008,735.0
12.8506,735.0
12.9019,735.0
12.9506,735.0
13.0004,735.0
13.0505,735.0
13.1005,735.0
13.1504,735.0
13.2005,735.0
13.2506,735.0
13.3002,735.0
13.3504,735.0
13.4006,735.0
13.4505,735.0
13.5003,735.0
13.5504,735.0
13.6014,735.0
13.6504,735.0
13.7005,735.0
13.7507,735.0
13.8006,735.0
13.8504,735.0
13.9011,735.0
13.9504,735.0
14.0005,735.0
14.0507,735.0
14.1004,735.0
14.1501,735.0
14.2008,735.0
14.2502,735.0
14.3010,735.0
14.3507,735.0
14.4002,735.0
14.4505,735.0
14.5026,735.0
14.5504,735.0
14.6010,735.0
14.6506,735.0
14.7029,735.0
14.7502,735.0
14.8004,735.0
14.8507,735.0
14.9014,735.0
14.9504,735.0
15.0012,735.0
15.0507,735.0
15.1004,735.0
15.1506,735.0
15.2006,735.0
15.2504,735.0
15.3006,735.0
15.3505,735.0
15.4004,735.0
15.4537,735.0
15.5004,735.0
15.5503,735.0
15.6008,735.0
15.6506,735.0
15.7011,735.0
15.7504,735.0
15.8019,735.0
15.8505,735.0
15.9005,735.0
15.9509,735.0
16.0007,735.0
16.0501,735.0
16.1010,735.0
16.1503,735.0
16.2005,735.0
16.2504,735.0
16.3013,735.0
16.3504,735.0
16.4009,735.0
16.4505,735.0
16.5016,735.0
16.5526,735.0
16.6009,735.0
16.6506,735.0
16.7006,735.0
16.7509,735.0
16.8009,735.0
16.8505,730.0
16.9003,730.0
16.9502,730.0
17.0006,730.0
17.0502,730.0
17.1008,730.0
17.1504,730.0
17.2016,730.0
17.2510,730.0
17.3011,730.0
17.3513,730.0
17.4008,730.0
17.4503,730.0
17.5001,730.0
17.5502,730.0
17.6016,730.0
17.6503,730.0
17.7003,730.0
17.7504,730.0
17.8007,730.0
17.8503,730.0
17.9019,730.0
17.9505,730.0
18.0006,730.0
18.0525,730.0
18.1006,730.0
18.1506,730.0
18.2006,730.0
18.2508,730.0
18.3026,730.0
18.3502,730.0
18.4007,730.0
18.4505,730.0
18.5004,730.0
18.5505,730.0
18.6002,730.0
18.6510,730.0
18.7003,730.0
18.7506,730.0
18.8004,730.0
18.8506,730.0
18.9006,730.0
18.9507,730.0
19.0005,730.0
19.0506,730.0
19.1002,730.0
19.1505,730.0
19.2004,730.0
19.2502,730.0
19.3006,725.0
19.3506,725.0
19.4004,725.0
19.4508,725.0
19.5001,725.0
19.5502,725.0
19.6007,725.0
19.6504,725.0
19.7004,725.0
19.7508,725.0
19.8007,725.0
19.8504,725.0
19.9006,725.0
19.9507,725.0
20.0007,725.0
20.0502,725.0
20.1004,725.0
20.1504,725.0
20.2001,725.0
20.2505,725.0
20.3007,725.0
20.3502,725.0
20.4003,725.0
20.4507,725.0
20.5010,725.0
20.5504,725.0
20.6009,725.0
20.6513,725.0
20.7005,725.0
20.7504,725.0
20.8010,725.0
20.8507,720.0
20.9009,720.0
20.9506,720.0
21.0006,720.0
21.0504,720.0
21.1006,720.0
21.1504,720.0
21.2006,720.0
21.2507,720.0
21.3003,720.0
21.3505,720.0
21.4002,720.0
21.4505,720.0
21.5002,720.0
21.5504,720.0
21.6007,720.0
21.6507,720.0
21.7005,720.0
21.7507,720.0
21.8005,720.0
21.8503,720.0
21.9006,720.0
21.9505,720.0
22.0012,720.0
22.0506,720.0
22.1007,720.0
22.1504,720.0
22.2005,720.0
22.2501,720.0
22.3007,720.0
22.3503,720.0
22.4003,720.0
22.4507,720.0
22.5005,720.0
22.5504,720.0
22.6012,720.0
22.6505,720.0
22.7005,720.0
22.7506,720.0
22.8005,720.0
22.8517,720.0
22.9005,720.0
22.9504,720.0
23.0010,720.0
23.0506,720.0
23.1008,720.0
23.1506,720.0
23.2002,720.0
23.2502,720.0
23.3002,720.0
23.3504,720.0
23.4003,720.0
23.4506,720.0
23.5005,720.0
23.5511,720.0
23.6003,720.0
23.6505,720.0
23.7003,720.0
23.7503,720.0
23.8004,720.0
23.8504,720.0
23.9009,720.0
23.9503,720.0
24.0006,720.0
24.0506,720.0
24.1003,720.0
24.1503,720.0
24.2006,720.0
24.2506,720.0
24.3004,720.0
24.3510,720.0
24.4004,720.0
24.4504,720.0
24.5007,720.0
24.5505,720.0
24.6003,720.0
24.6504,720.0
24.7005,720.0
24.7507,720.0
24.8006,720.0
24.8509,720.0
24.9002,720.0
24.9505,720.0
25.0002,720.0
25.0504,720.0
25.1008,720.0
25.1506,720.0
25.2006,720.0
25.2506,720.0
25.3006,720.0
25.3504,720.0
25.4001,720.0
25.4504,720.0
25.5010,720.0
25.5518,720.0
25.6008,720.0
25.6506,720.0
25.7003,720.0
25.7507,720.0
25.8027,720.0
25.8510,720.0
25.9005,720.0
25.9504,720.0
26.0005,720.0
26.0515,720.0
26.1007,720.0
26.1505,720.0
26.2008,720.0
26.2507,720.0
26.3006,720.0
26.3502,720.0
26.4005,720.0
26.4501,720.0
26.5003,720.0
26.5511,720.0
26.6004,720.0
26.6502,720.0
26.7003,720.0
26.7503,720.0
26.8005,720.0
26.8504,720.0
26.9005,720.0
26.9510,720.0
27.0002,720.0
27.0503,720.0
27.1006,720.0
27.1503,720.0
27.2005,720.0
27.2502,720.0
27.3006,720.0
27.3513,720.0
27.4002,720.0
27.4502,720.0
27.5003,720.0
27.5504,720.0
27.6005,720.0
27.6507,720.0
27.7005,720.0
27.7507,720.0
27.8010,720.0
27.8522,720.0
27.9015,720.0
27.9504,720.0
28.0006,720.0
28.0508,715.0
28.1033,715.0
28.1505,715.0
28.2009,715.0
28.2542,715.0
28.3004,715.0
28.3522,715.0
28.4002,715.0
28.4503,715.0
28.5032,715.0
28.5512,715.0
28.6026,715.0
28.6504,715.0
28.7006,715.0
28.7509,715.0
28.8006,715.0
28.8504,715.0
28.9004,715.0
28.9527,715.0
29.0047,715.0
29.0505,715.0
29.1004,715.0
29.1509,715.0
29.2007,715.0
29.2505,715.0
29.3006,715.0
29.3506,715.0
29.4007,715.0
29.4516,715.0
29.5007,715.0
29.5503,710.0
29.6003,710.0
29.6505,710.0
29.7005,710.0
29.7507,710.0
29.8008,705.0
29.8506,705.0
29.9038,705.0
29.9521,700.0
30.0005,700.0
30.0506,700.0
30.1006,700.0
30.1503,700.0
30.2006,700.0
30.2504,700.0
30.3062,700.0
30.3507,700.0
30.4006,700.0
30.4505,700.0
30.5006,700.0
30.5503,700.0
30.6017,700.0
30.6505,700.0
30.7004,700.0
30.7506,700.0
30.8006,700.0
30.8502,700.0
30.9005,700.0
30.9503,700.0
31.0003,700.0
31.0506,700.0
31.1008,700.0
31.1503,700.0
31.2002,700.0
31.2511,700.0
31.3034,700.0
31.3503,700.0
31.4003,700.0
31.4506,700.0
31.5001,700.0
31.5505,700.0
31.6005,700.0
31.6537,700.0
31.7054,700.0
31.7502,700.0
31.8004,700.0
31.8504,700.0
31.9007,700.0
31.9503,700.0
32.0003,700.0
32.0504,695.0
32.1006,695.0
32.1504,695.0
32.2058,695.0
32.2502,695.0
32.3006,695.0
32.3511,695.0
32.4007,695.0
32.4503,695.0
32.5006,690.0
32.5513,690.0
32.6055,690.0
32.6512,690.0
32.7003,690.0
32.7502,690.0
32.8003,690.0
32.8502,690.0
32.9006,690.0
32.9506,690.0
33.0004,690.0
33.0506,690.0
33.1003,690.0
33.1503,690.0
33.2005,690.0
33.2518,690.0
33.3007,690.0
33.3503,690.0
33.4002,690.0
33.4503,690.0
33.5003,690.0
33.5509,690.0
33.6003,690.0
33.6504,690.0
33.7004,690.0
33.7508,690.0
33.8003,690.0
33.8503,690.0
33.9005,690.0
33.9522,690.0
34.0004,690.0
34.0505,690.0
34.1004,690.0
34.1505,690.0
34.2006,690.0
34.2509,690.0
34.3003,690.0
34.3502,690.0
34.4006,690.0
34.4503,690.0
34.5016,690.0
34.5504,690.0
34.6006,690.0
34.6505,690.0
34.7006,690.0
34.7503,690.0
34.8001,690.0
34.8520,690.0
34.9006,690.0
34.9506,690.0
35.0004,690.0
35.0505,690.0
35.1007,690.0
35.1508,690.0
35.2009,690.0
35.2502,690.0
35.3009,690.0
35.3508,690.0
35.4003,690.0
35.4508,690.0
35.5007,690.0
35.5504,690.0
35.6004,690.0
35.6505,690.0
35.7012,690.0
35.7511,690.0
35.8003,690.0
35.8504,690.0
35.9043,690.0
35.9559,690.0
36.0005,690.0
36.0537,690.0
36.1006,690.0
36.1505,690.0
36.2004,690.0
36.2506,690.0
36.3001,690.0
36.3502,690.0
36.4006,690.0
36.4515,690.0
36.5004,690.0
36.5506,690.0
36.6003,690.0
36.6508,690.0
36.7004,690.0
36.7505,690.0
36.8003,690.0
36.8508,690.0
36.9012,690.0
36.9506,690.0
37.0006,690.0
37.0504,690.0
37.1006,690.0
37.1503,690.0
37.2002,690.0
37.2507,690.0
37.3003,690.0
37.3510,690.0
37.4005,690.0
37.4502,690.0
37.5004,690.0
37.5508,690.0
37.6003,690.0
37.6503,690.0
